instancia,sem_tempo,sem_tamanho,sem_densidade,p1_tempo,p1_tamanho,p1_densidade,p2_tempo,p2_tamanho,p2_densidade,p3_tempo,p3_tamanho,p3_densidade
"Frinhani, Carvalho & Soma\Random-1000-1000-38-6",0.000,(1000;380084),0.761,1.547,(1000;380084),0.761,0.239,(1000;380084),0.761,0.230,(1000;380084),0.761
"Frinhani, Carvalho & Soma\Random-1000-1000-38-7",0.000,(1000;380490),0.762,1.505,(1000;380490),0.762,0.237,(1000;380490),0.762,0.215,(1000;380490),0.762
"Frinhani, Carvalho & Soma\Random-1000-1000-38-8",0.000,(1000;383972),0.769,1.492,(1000;383972),0.769,0.235,(1000;383972),0.769,0.208,(1000;383972),0.769
"Frinhani, Carvalho & Soma\Random-1000-1000-38-9",0.000,(1000;382081),0.765,1.579,(1000;382081),0.765,0.267,(1000;382081),0.765,0.250,(1000;382081),0.765
"Frinhani, Carvalho & Soma\Random-1000-1000-4-1",0.000,(1000;8387),0.017,0.474,(996;8358),0.017,0.205,(1000;8387),0.017,0.196,(1000;8387),0.017
"Frinhani, Carvalho & Soma\Random-1000-1000-4-10",0.000,(1000;8238),0.016,0.403,(998;8223),0.017,0.286,(1000;8238),0.016,0.209,(1000;8238),0.016
"Frinhani, Carvalho & Soma\Random-1000-1000-4-2",0.000,(1000;8264),0.017,0.393,(993;8217),0.017,0.186,(1000;8264),0.017,0.189,(1000;8264),0.017
"Frinhani, Carvalho & Soma\Random-1000-1000-4-3",0.000,(1000;8859),0.018,0.389,(994;8790),0.018,0.183,(1000;8859),0.018,0.187,(1000;8859),0.018
"Frinhani, Carvalho & Soma\Random-1000-1000-4-4",0.000,(1000;8237),0.016,0.372,(995;8184),0.017,0.187,(1000;8237),0.016,0.187,(1000;8237),0.016
"Frinhani, Carvalho & Soma\Random-1000-1000-4-5",0.000,(1000;8656),0.017,0.395,(998;8640),0.017,0.193,(1000;8656),0.017,0.180,(1000;8656),0.017
"Frinhani, Carvalho & Soma\Random-1000-1000-4-6",0.000,(1000;8099),0.016,0.382,(997;8071),0.016,0.187,(1000;8099),0.016,0.185,(1000;8099),0.016
"Frinhani, Carvalho & Soma\Random-1000-1000-4-7",0.000,(1000;8403),0.017,0.516,(992;8328),0.017,0.179,(1000;8403),0.017,0.178,(1000;8403),0.017
"Frinhani, Carvalho & Soma\Random-1000-1000-4-8",0.000,(1000;8034),0.016,0.397,(996;8006),0.016,0.214,(1000;8034),0.016,0.193,(1000;8034),0.016
"Frinhani, Carvalho & Soma\Random-1000-1000-4-9",0.000,(1000;8545),0.017,0.366,(998;8532),0.017,0.184,(1000;8545),0.017,0.195,(1000;8545),0.017
"Frinhani, Carvalho & Soma\Random-1000-1000-40-1",0.000,(1000;398115),0.797,1.582,(1000;398115),0.797,0.247,(1000;398115),0.797,0.233,(1000;398115),0.797
"Frinhani, Carvalho & Soma\Random-1000-1000-40-10",0.000,(1000;399714),0.800,1.549,(1000;399714),0.800,0.291,(1000;399714),0.800,0.221,(1000;399714),0.800
"Frinhani, Carvalho & Soma\Random-1000-1000-40-2",0.000,(1000;400164),0.801,1.581,(1000;400164),0.801,0.246,(1000;400164),0.801,0.226,(1000;400164),0.801
"Frinhani, Carvalho & Soma\Random-1000-1000-40-3",0.000,(1000;400000),0.801,1.539,(1000;400000),0.801,0.239,(1000;400000),0.801,0.219,(1000;400000),0.801
"Frinhani, Carvalho & Soma\Random-1000-1000-40-4",0.000,(1000;397975),0.797,1.561,(1000;397975),0.797,0.246,(1000;397975),0.797,0.226,(1000;397975),0.797
"Frinhani, Carvalho & Soma\Random-1000-1000-40-5",0.000,(1000;395782),0.792,1.495,(1000;395782),0.792,0.291,(1000;395782),0.792,0.255,(1000;395782),0.792
"Frinhani, Carvalho & Soma\Random-1000-1000-40-6",0.000,(1000;398859),0.799,1.589,(1000;398859),0.799,0.237,(1000;398859),0.799,0.217,(1000;398859),0.799
"Frinhani, Carvalho & Soma\Random-1000-1000-40-7",0.000,(1000;398556),0.798,1.638,(1000;398556),0.798,0.257,(1000;398556),0.798,0.219,(1000;398556),0.798
"Frinhani, Carvalho & Soma\Random-1000-1000-40-8",0.000,(1000;396819),0.794,1.665,(1000;396819),0.794,0.257,(1000;396819),0.794,0.218,(1000;396819),0.794
"Frinhani, Carvalho & Soma\Random-1000-1000-40-9",0.000,(1000;396703),0.794,1.491,(1000;396703),0.794,0.251,(1000;396703),0.794,0.215,(1000;396703),0.794
"Frinhani, Carvalho & Soma\Random-1000-1000-44-1",0.000,(1000;426157),0.853,1.834,(1000;426157),0.853,0.251,(1000;426157),0.853,0.216,(1000;426157),0.853
"Frinhani, Carvalho & Soma\Random-1000-1000-44-10",0.000,(1000;428768),0.858,1.756,(1000;428768),0.858,0.244,(1000;428768),0.858,0.240,(1000;428768),0.858
"Frinhani, Carvalho & Soma\Random-1000-1000-44-2",0.000,(1000;426760),0.854,1.566,(1000;426760),0.854,0.246,(1000;426760),0.854,0.246,(1000;426760),0.854
"Frinhani, Carvalho & Soma\Random-1000-1000-44-3",0.000,(1000;428726),0.858,1.703,(1000;428726),0.858,0.261,(1000;428726),0.858,0.233,(1000;428726),0.858
"Frinhani, Carvalho & Soma\Random-1000-1000-44-4",0.000,(1000;423938),0.849,1.536,(1000;423938),0.849,0.264,(1000;423938),0.849,0.208,(1000;423938),0.849
"Frinhani, Carvalho & Soma\Random-1000-1000-44-5",0.000,(1000;427987),0.857,1.615,(1000;427987),0.857,0.257,(1000;427987),0.857,0.206,(1000;427987),0.857
"Frinhani, Carvalho & Soma\Random-1000-1000-44-6",0.000,(1000;427053),0.855,1.595,(1000;427053),0.855,0.281,(1000;427053),0.855,0.213,(1000;427053),0.855
"Frinhani, Carvalho & Soma\Random-1000-1000-44-7",0.000,(1000;426356),0.854,1.663,(1000;426356),0.854,0.283,(1000;426356),0.854,0.207,(1000;426356),0.854
"Frinhani, Carvalho & Soma\Random-1000-1000-44-8",0.000,(1000;426230),0.853,1.643,(1000;426230),0.853,0.229,(1000;426230),0.853,0.204,(1000;426230),0.853
"Frinhani, Carvalho & Soma\Random-1000-1000-44-9",0.000,(1000;427331),0.856,1.622,(1000;427331),0.856,0.282,(1000;427331),0.856,0.222,(1000;427331),0.856
"Frinhani, Carvalho & Soma\Random-1000-1000-48-1",0.000,(1000;449304),0.900,1.793,(1000;449304),0.900,0.261,(1000;449304),0.900,0.220,(1000;449304),0.900
"Frinhani, Carvalho & Soma\Random-1000-1000-48-10",0.000,(1000;448881),0.899,1.566,(1000;448881),0.899,0.227,(1000;448881),0.899,0.202,(1000;448881),0.899
"Frinhani, Carvalho & Soma\Random-1000-1000-48-2",0.000,(1000;448028),0.897,1.581,(1000;448028),0.897,0.233,(1000;448028),0.897,0.197,(1000;448028),0.897
"Frinhani, Carvalho & Soma\Random-1000-1000-48-3",0.000,(1000;450923),0.903,1.575,(1000;450923),0.903,0.224,(1000;450923),0.903,0.206,(1000;450923),0.903
"Frinhani, Carvalho & Soma\Random-1000-1000-48-4",0.000,(1000;448560),0.898,1.603,(1000;448560),0.898,0.234,(1000;448560),0.898,0.207,(1000;448560),0.898
"Frinhani, Carvalho & Soma\Random-1000-1000-48-5",0.000,(1000;448503),0.898,1.615,(1000;448503),0.898,0.232,(1000;448503),0.898,0.202,(1000;448503),0.898
